unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 08:10:00-04:00,116.9996,116.56251,117.00563,116.74983,116.865585,116.64382,116.848625,116.84483,116.90848,116.829704,117.695435,116.8203,116.82,1
NVDA,2024-09-03 08:15:00-04:00,116.92,116.75798,117.02675,116.734604,116.87211,116.62012,116.82547,116.87842,116.92844,116.83166,117.83017,116.82182,116.82,2
NVDA,2024-09-03 08:20:00-04:00,117.1394,116.87957,117.06183,116.74565,116.88009,116.61579,116.83625,116.84573,116.92107,116.82594,117.8431,116.82255,116.82,3
NVDA,2024-09-03 08:25:00-04:00,116.9,116.847824,117.042595,116.71989,116.867615,116.51774,116.848564,116.817,116.89334,116.81218,117.73476,116.82295,116.82,4
NVDA,2024-09-03 08:30:00-04:00,116.8874,116.84158,117.066246,116.705734,116.860344,116.50431,116.884476,116.82265,116.89998,116.80709,117.835945,116.823204,116.82,5
NVDA,2024-09-03 08:35:00-04:00,117.03,116.89972,117.079285,116.85619,116.900475,116.814316,116.8307,116.886765,116.899,116.88996,117.83202,116.88504,116.8874,0
NVDA,2024-09-03 08:40:00-04:00,116.89,116.86266,117.04764,116.872284,116.90102,116.79151,116.850395,116.91591,116.880745,116.89352,117.688835,116.88593,116.8874,1
NVDA,2024-09-03 08:45:00-04:00,116.88,116.88733,117.07012,116.8404,116.894356,116.78654,116.82906,116.90309,116.889885,116.89122,117.81633,116.88745,116.8874,2
NVDA,2024-09-03 08:50:00-04:00,116.8897,116.863945,117.103455,116.80704,116.89829,116.79335,116.84197,116.9083,116.92279,116.88891,117.830765,116.88831,116.8874,3
NVDA,2024-09-03 08:55:00-04:00,116.65,116.908005,117.084724,116.79427,116.88577,116.72309,116.888214,116.921814,116.93846,116.88517,117.72274,116.88885,116.8874,4
NVDA,2024-09-03 09:00:00-04:00,116.7984,117.115265,117.106865,116.791504,116.914536,116.7132,116.9117,116.91759,116.908066,116.88894,117.82255,116.88919,116.8874,5
NVDA,2024-09-03 09:05:00-04:00,116.59,116.84752,117.00468,116.79735,116.753265,116.737045,116.66924,116.79925,116.74988,116.80246,117.73802,116.7915,116.7984,0
